Food,Meal_Type,Diet_Type,Calories,Protein_g,Carbs_g,Fat_g
Eggs,Dinner,Non-Veg,209,37.62,76.67,28.27
Eggs,Dinner,Non-Veg,383,32.36,63.52,13.49
Orange,Lunch,Veg,463,20.03,54.42,21.2
Chickpeas,Dinner,Veg,222,1.65,22.04,18.98
Banana,Lunch,Veg,356,17.49,51.68,23.71
Brown Rice,Snack,Veg,337,22.61,67.72,25.19
Lentils,Snack,Veg,118,19.05,38.87,11.95
Quinoa,Snack,Veg,560,37.36,26.24,4.62
Chicken Breast,Dinner,Non-Veg,513,23.06,64.17,25.0
Avocado,Snack,Veg,593,18.88,40.36,4.0
Paneer,Breakfast,Veg,505,37.64,19.27,4.07
Broccoli,Breakfast,Veg,567,37.4,57.28,19.0
Chickpeas,Dinner,Veg,208,3.48,11.01,17.09
Eggs,Lunch,Non-Veg,597,15.43,55.33,21.58
Orange,Snack,Veg,288,30.79,56.35,21.2
Yogurt,Snack,Veg,102,21.17,26.41,27.5
Broccoli,Dinner,Veg,155,24.12,71.1,20.72
Banana,Dinner,Veg,92,25.0,23.74,13.76
Milk,Snack,Veg,337,37.17,10.05,27.18
Yogurt,Lunch,Veg,293,12.24,61.06,4.13
Oats,Breakfast,Veg,471,9.56,54.32,27.63
Milk,Snack,Veg,260,32.57,46.86,26.44
Broccoli,Lunch,Veg,250,17.05,42.44,12.21
Paneer,Snack,Veg,506,31.85,66.06,4.62
Almonds,Breakfast,Veg,74,31.97,58.87,17.17
Oats,Lunch,Veg,423,3.26,47.71,9.0
Tofu,Breakfast,Veg,399,35.56,53.7,29.84
Spinach,Lunch,Veg,316,18.63,75.08,2.01
Oats,Breakfast,Veg,329,38.54,64.86,7.57
Peanuts,Dinner,Veg,531,13.48,69.4,6.36
Chicken Breast,Snack,Non-Veg,557,14.92,79.77,1.33
Paneer,Dinner,Veg,405,35.66,33.58,8.42
Carrot,Dinner,Veg,317,11.79,11.82,23.08
Sweet Potato,Breakfast,Veg,385,11.52,31.51,2.31
Yogurt,Dinner,Veg,381,20.6,52.63,13.11
Tofu,Breakfast,Veg,249,22.61,21.21,5.94
Chickpeas,Dinner,Veg,503,5.71,29.94,20.6
Chickpeas,Lunch,Veg,455,28.24,69.39,4.13
Yogurt,Lunch,Veg,167,8.77,68.72,6.99
Salmon,Snack,Non-Veg,198,24.31,58.64,20.06
Sweet Potato,Dinner,Veg,268,4.28,65.4,9.8
Eggs,Lunch,Non-Veg,381,32.55,13.37,9.31
Chicken Breast,Dinner,Non-Veg,536,22.99,45.03,16.82
Salmon,Snack,Non-Veg,591,19.48,33.3,27.59
Spinach,Lunch,Veg,329,9.05,49.63,25.3
Sweet Potato,Lunch,Veg,392,37.0,63.32,26.0
Quinoa,Snack,Veg,533,18.58,41.33,12.3
Quinoa,Breakfast,Veg,203,10.88,12.62,7.99
Oats,Dinner,Veg,587,16.93,24.94,7.45
Chicken Breast,Lunch,Non-Veg,254,13.05,62.5,19.72
Apple,Snack,Veg,119,15.17,64.19,8.55
Lentils,Lunch,Veg,246,18.66,12.43,19.27
Apple,Lunch,Veg,185,30.31,32.15,5.49
Brown Rice,Dinner,Veg,399,4.16,75.25,29.11
Chickpeas,Snack,Veg,197,17.97,21.51,14.23
Chickpeas,Dinner,Veg,408,28.74,60.45,23.8
Orange,Snack,Veg,381,5.38,53.95,17.59
Apple,Dinner,Veg,410,5.36,70.45,15.4
Carrot,Lunch,Veg,405,32.38,73.44,28.96
Tofu,Snack,Veg,529,10.5,9.68,17.64
Sweet Potato,Breakfast,Veg,559,5.63,79.35,10.69
Banana,Breakfast,Veg,198,4.27,14.33,6.81
Quinoa,Lunch,Veg,557,16.94,79.46,19.82
Tofu,Dinner,Veg,451,10.92,46.52,17.98
Carrot,Lunch,Veg,177,5.11,53.91,8.86
Carrot,Dinner,Veg,366,13.3,71.57,8.6
Salmon,Lunch,Non-Veg,354,33.6,14.71,18.14
Broccoli,Lunch,Veg,355,39.54,10.61,2.89
Almonds,Breakfast,Veg,198,38.46,40.14,27.71
Yogurt,Snack,Veg,282,33.9,34.25,16.02
Almonds,Snack,Veg,210,11.69,32.97,29.4
Salmon,Dinner,Non-Veg,105,26.99,6.33,18.83
Salmon,Breakfast,Non-Veg,521,16.93,8.39,21.18
Oats,Dinner,Veg,285,4.53,48.18,27.84
Almonds,Snack,Veg,282,9.07,58.78,4.04
Oats,Dinner,Veg,221,33.71,55.64,13.66
Chicken Breast,Breakfast,Non-Veg,392,29.77,18.17,8.31
Lentils,Snack,Veg,248,13.49,56.85,23.34
Almonds,Breakfast,Veg,294,6.19,30.37,23.41
Orange,Breakfast,Veg,223,21.36,76.53,18.4
Carrot,Lunch,Veg,250,1.59,47.14,24.99
Almonds,Breakfast,Veg,287,16.08,5.36,19.75
Carrot,Dinner,Veg,265,5.92,20.38,24.89
Lentils,Dinner,Veg,245,9.81,55.69,13.9
Oats,Dinner,Veg,438,19.65,31.46,3.57
Avocado,Dinner,Veg,569,28.16,60.65,10.65
Broccoli,Dinner,Veg,81,25.47,78.01,28.22
Salmon,Dinner,Non-Veg,402,19.36,36.5,27.01
Milk,Lunch,Veg,524,15.12,46.22,12.7
Orange,Breakfast,Veg,208,32.34,25.54,26.77
Broccoli,Snack,Veg,568,21.95,13.97,2.26
Eggs,Breakfast,Non-Veg,248,33.48,75.98,8.21
Milk,Breakfast,Veg,314,10.2,17.86,1.83
Salmon,Breakfast,Non-Veg,151,24.02,18.47,25.23
Paneer,Lunch,Veg,357,5.75,11.75,13.62
Banana,Snack,Veg,380,3.35,51.46,8.44
Paneer,Dinner,Veg,65,10.55,22.3,4.56
Apple,Breakfast,Veg,575,25.38,52.47,19.03
